experiment_id,trainset,sequence_id,label,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top10,top10,61274.02736277026,42,0.8528127223458529,0.7849109653233365,0.7741556534508076,0.7765588328882563,0.7825724643679383,0.779533309387072,0.7807125617809589
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top10,top10,61274.02736277026,100,0.8870444832640375,0.8107098381070984,0.8049834731756929,0.8060938505498878,0.8096196507515332,0.8078466556413957,0.8083952549876605
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top10,top10,61274.02736277026,365,0.9078378509291292,0.8894289185905225,0.8089482612383376,0.823178936650424,0.8797512175316716,0.84918858991443,0.8550225309208049
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top35,top35,56285.30837494587,42,0.8865498340247688,0.8053932584269663,0.8007652364033889,0.8016830516081948,0.804488426559218,0.8030792474151776,0.8035338721983541
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top35,top35,56285.30837494587,100,0.9125078469630132,0.8034441805225653,0.8626190476190476,0.8539782287097544,0.8144255253938819,0.8330316140708065,0.8279408246538883
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top35,top35,56285.30837494587,365,0.9286107767076868,0.91,0.8182182985553772,0.8334999558940279,0.9009048814110495,0.8641091492776887,0.8700716708359552
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top25,top25,55558.6088996466,42,0.8788736888386409,0.7194899817850637,0.8753103448275862,0.8522948792962953,0.7573065614828449,0.797400163306325,0.7802818850901925
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top25,top25,55558.6088996466,100,0.9082701824650325,0.8009650180940893,0.8623588758107135,0.8533558241431888,0.8124777334456273,0.8316619469524014,0.8263308370112532
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top25,top25,55558.6088996466,365,0.9316221280205452,0.8903002309468823,0.8490413723511605,0.8550229595622096,0.8855793661963444,0.8696708016490213,0.8723050750744683
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top20,top20,56578.60050565446,42,0.8815172367360943,0.7515751575157515,0.8473640629312724,0.8311943549654521,0.7732913326129668,0.7994696102235119,0.7893821852558357
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top20,top20,56578.60050565446,100,0.9081753130386245,0.8238434163701067,0.8324116374128396,0.8309632935476201,0.8253399423513766,0.8281275268914732,0.8273880381696822
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top20,top20,56578.60050565446,365,0.934066657554219,0.8994350282485876,0.838508064516129,0.8477822310070012,0.8929103830399391,0.8689715463823583,0.8728451265634939
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top30,top30,55343.59670364377,42,0.8769484252649709,0.7887773722627737,0.8037486218302095,0.8007658374604711,0.7918929941835832,0.7962629970464916,0.7947263958679577
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top30,top30,55343.59670364377,100,0.9074752383707148,0.7852834740651388,0.8628063431042767,0.8512769018427363,0.8007313514131436,0.8240449085847077,0.8169496129950329
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top30,top30,55343.59670364377,365,0.93059990784109,0.9098265895953758,0.829465186680121,0.8421502167147894,0.9019469053490425,0.8696458881377485,0.8746812821276306
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top38,top38,59934.11846631975,42,0.8846673704199461,0.7841468875951635,0.8249724366041896,0.8175227006776712,0.7926135531450481,0.8045596620996766,0.8004870492247719
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top38,top38,59934.11846631975,100,0.9123162808810809,0.8056704075605434,0.8601247600767754,0.8520692889915441,0.8157060170734464,0.8328975838186594,0.8282205134611372
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top38,top38,59934.11846631975,365,0.9320929908719411,0.9092920353982301,0.8323582812184789,0.844334233065983,0.9017319016782316,0.8708251583083545,0.8756100511807986
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top15,top15,60495.76234756689,42,0.8680697160385261,0.7721635277905374,0.8079638520192036,0.8008336314496552,0.7800382304580504,0.7900636899048705,0.7862373029741101
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top15,top15,60495.76234756689,100,0.8999478379538786,0.7906836055656382,0.8523985239852399,0.8426901600458702,0.8028506609420765,0.8215410647754391,0.8158589395125997
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top15,top15,60495.76234756689,365,0.9201608491573241,0.8947368421052632,0.8253509496284063,0.8366828554591453,0.8868884997081145,0.8600438958668347,0.8647365823436137
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top5,top5,63998.1653269126,42,0.8340156216598331,0.6979990693345742,0.8265399938706712,0.800954501464121,0.7323970056384373,0.7622695316026227,0.7459410451297762
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top5,top5,63998.1653269126,100,0.8639598967961134,0.7713395638629283,0.8035198318886262,0.7969868131221458,0.7784685066936594,0.7874296978757773,0.7839534804227701
CWQJ9nlD_165_extval_gr1,deriva,CWQJ9nlD_165_gr1_top5,top5,63998.1653269126,365,0.898858083176808,0.8241335044929397,0.8508525793222534,0.8467580974613365,0.8287102092300203,0.8374930419075965,0.8352926276035969
