,var1,var2,correlation,p_value,significant
52,MonocytesPercentage_Avg_preclinical,MonocytesPercentage_Avg_chronic,0.0781295304356724,0.17352883431580984,False
53,MonocytesPercentage_Avg_preclinical,MonocytesPercentage_Avg_acute,0.4347480663802672,1.7096024686304232e-15,False
54,AbsoluteEosinophilCount_Avg_acute,AbsoluteEosinophilCount_Avg_chronic,0.2962993703934165,1.3475451603808388e-07,False
55,AbsoluteEosinophilCount_Avg_acute,AbsoluteEosinophilCount_Avg_preclinical,0.2971689613489914,1.233441368834424e-07,False
56,AbsoluteEosinophilCount_Avg_chronic,AbsoluteEosinophilCount_Avg_acute,0.2962993703934164,1.347545160380849e-07,False
57,AbsoluteEosinophilCount_Avg_chronic,AbsoluteEosinophilCount_Avg_preclinical,0.3776984765730843,8.88238231216852e-12,False
58,AbsoluteEosinophilCount_Avg_preclinical,AbsoluteEosinophilCount_Avg_acute,0.2971689613489914,1.233441368834424e-07,False
59,AbsoluteEosinophilCount_Avg_preclinical,AbsoluteEosinophilCount_Avg_chronic,0.3776984765730843,8.88238231216852e-12,False
60,Nucleosome_Avg_chronic,Nucleosome_Avg_acute,0.494946797558931,2.97435271230702e-20,False
61,Nucleosome_Avg_acute,Nucleosome_Avg_chronic,0.494946797558931,2.97435271230702e-20,False
62,PlateletDistributionWidth_Avg_chronic,PlateletDistributionWidth_Avg_acute,0.5712236899948456,8.207018613296765e-28,False
63,PlateletDistributionWidth_Avg_chronic,PlateletDistributionWidth_Avg_preclinical,0.5482559439201121,2.4889006590022115e-25,False
64,PlateletDistributionWidth_Avg_acute,PlateletDistributionWidth_Avg_chronic,0.5712236899948455,8.207018613297176e-28,False
65,PlateletDistributionWidth_Avg_acute,PlateletDistributionWidth_Avg_preclinical,0.5395304961967938,1.9485070160860744e-24,False
66,PlateletDistributionWidth_Avg_preclinical,PlateletDistributionWidth_Avg_chronic,0.5482559439201121,2.4889006590022115e-25,False
67,PlateletDistributionWidth_Avg_preclinical,PlateletDistributionWidth_Avg_acute,0.5395304961967937,1.9485070160861585e-24,False
68,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.06266431141787801,0.27528871964473467,False
69,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_acute,0.30264375495751433,7.018940145767631e-08,False
70,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,0.06266431141787801,0.27528871964473467,False
71,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_acute,0.24896271801057224,1.0846964315556715e-05,False
72,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,0.30264375495751433,7.018940145767631e-08,False
73,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.24896271801057224,1.0846964315556715e-05,False
74,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.06266431141787801,0.27528871964473467,False
