experiment_id,experiment_label,fold,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,169832.92411039048,42,0.7780867922548145,0.8204334365325078,0.6779661016949152,0.7181241962153223,0.7906009056419043,0.7491997691137116,0.7658771951309118
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,169832.92411039048,100,0.7221107346119683,0.724907063197026,0.6460176991150443,0.6719012044518983,0.7013464766598807,0.6854623811560352,0.6973984048613748
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,169832.92411039048,365,0.6262997287522604,0.569620253164557,0.6428571428571428,0.6146341463414634,0.598989048020219,0.6062386980108498,0.5912717034256217
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,169832.92411039048,1000,0.6505557842733636,0.45714285714285713,0.8270893371757925,0.7255619445896496,0.6037384300997716,0.6421160971593248,0.5608930646057483
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,153049.48750090844,42,0.8037118437118437,0.819047619047619,0.7538461538461538,0.7689133425034388,0.8064263322884012,0.7864468864468864,0.7931890741397659
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,153049.48750090844,100,0.7094941348973606,0.8508064516129032,0.5227272727272727,0.6406293127242617,0.7779596290234588,0.686766862170088,0.7309085183435681
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,153049.48750090844,365,0.6653955853174602,0.8984375,0.4365079365079365,0.6145559419798117,0.8112468310670662,0.6674727182539683,0.729864504105173
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,153049.48750090844,1000,0.7330391616105902,0.8108108108108109,0.5918367346938775,0.665158371040724,0.757768361581921,0.7013237727523443,0.7307979120059657
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,133592.79380723028,42,0.8747646837349398,0.7439759036144579,0.875,0.8561525129982669,0.7736351531291611,0.8094879518072289,0.7961321514907334
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,133592.79380723028,100,0.7314814814814815,0.8592592592592593,0.4841269841269841,0.6248557137360523,0.7747671464860288,0.6716931216931217,0.723546446870127
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,133592.79380723028,365,0.6602198929019027,0.44776119402985076,0.7900763358778626,0.6808142052836726,0.5885922845138565,0.6189187649538567,0.5402247499914086
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,133592.79380723028,1000,0.6528233151183971,0.5333333333333333,0.7513661202185793,0.6820405310971349,0.616868550919695,0.6423497267759564,0.5985893897577431
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,109530.9889573297,42,0.7671934229311279,0.7357357357357357,0.7377049180327868,0.7371873920978641,0.7362550975286198,0.7367203268842613,0.7364608485684717
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,109530.9889573297,100,0.6973269732697327,0.7601476014760148,0.5853658536585367,0.6470543170152456,0.7093467117461011,0.6727567275672757,0.6990564476080119
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,109530.9889573297,365,0.6375888407207526,0.8818897637795275,0.37453183520599254,0.5850566392111596,0.7602514217300209,0.62821079949276,0.703441462209781
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,109530.9889573297,1000,0.6947146372905192,1.0,0.37196765498652296,0.6142384105960265,1.0,0.6859838274932615,0.7610256410256411
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,128935.74560335981,42,0.8246865959498554,0.7794117647058824,0.8032786885245902,0.798468757717955,0.7845538026842478,0.7913452266152363,0.7888251799438819
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,128935.74560335981,100,0.6904721515408538,0.8296296296296296,0.4885496183206107,0.6186279883627778,0.7414399725392603,0.6590896239751202,0.7087580310129945
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,128935.74560335981,365,0.6323359232931063,0.5,0.7072243346007605,0.630695443645084,0.5858267716535434,0.6036121673003803,0.5577942735949099
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,128935.74560335981,1000,0.7177012177012178,0.5675675675675675,0.804945054945055,0.7442313309317496,0.6505250525052505,0.6862563112563113,0.6440035384809807
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,0,58357.426666803556,42,0.8492794486215539,0.7833333333333333,0.7839335180055402,0.7838037603363053,0.7834632953444379,0.7836334256694368,0.7835684762278616
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,0,58357.426666803556,100,0.8894480257856567,0.8116438356164384,0.8423529411764705,0.8373583619449825,0.8172557481373768,0.8269983883964545,0.8243006027276187
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,0,58357.426666803556,365,0.8950524986709196,0.9013157894736842,0.7919191919191919,0.8124378526673933,0.889193988867167,0.8466174906964381,0.8545721468581257
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,0,58357.426666803556,1000,0.9111450787532399,0.975609756097561,0.784741144414169,0.8192421452089961,0.9698562628336755,0.880175450255865,0.8906145725899411
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,1,58979.0044649019,42,0.8608621516491715,0.6762402088772846,0.9170068027210885,0.8906881643958677,0.7390647098905756,0.7966235057991866,0.7687896404318776
CWQJ9nlD_default_top200_gr1,Xgboost + time dependent,1,58979.0044649019,100,0.8783796906137062,0.7676056338028169,0.8776978417266187,0.8625676060347282,0.790653096618137,0.8226517377647178,0.812320724874675
