experiment_id,trainset,sequence_id,label,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top10,top10,81663.13428881911,42,0.9412850033738192,0.8728070175438597,0.8894230769230769,0.8875546787889184,0.8748859205177135,0.8811150472334683,0.880119072932171
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top10,top10,81663.13428881911,100,0.9118622254215475,0.9322033898305084,0.7837837837837838,0.8117271639409653,0.9203873050026896,0.8579935868071461,0.8678038379530917
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top10,top10,81663.13428881911,365,0.8527107045349785,0.7468354430379747,0.8207282913165266,0.8064244419771047,0.7642552910489648,0.7837818671772506,0.7754869113802878
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top35,top35,108359.63706741687,42,0.9578220235676554,0.8608695652173913,0.9485981308411215,0.9436550710436061,0.872090851357914,0.9047338480292564,0.9003633581946836
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top35,top35,108359.63706741687,100,0.9286058245922576,0.9234972677595629,0.8505747126436781,0.8607305936073059,0.917479674796748,0.8870359902016205,0.8910099081901646
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top35,top35,108359.63706741687,365,0.8797583474080811,0.9186046511627907,0.7458100558659218,0.783261327129722,0.9016020103659493,0.8322073535143562,0.8455513035159054
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top25,top25,84577.60339436025,42,0.9548754330968486,0.8577586206896551,0.937799043062201,0.9323872934741184,0.8682999484427811,0.8977788318759281,0.8935173747247436
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top25,top25,84577.60339436025,100,0.919660785235186,0.949438202247191,0.8365019011406845,0.8530930308439377,0.9430009391480242,0.8929700516939377,0.8986907951271293
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top25,top25,84577.60339436025,365,0.8792183540082701,0.9880952380952381,0.6526610644257703,0.739905610907184,0.9820864067439411,0.8203781512605042,0.8461769115442278
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top20,top20,100630.58237140057,42,0.9243962053109076,0.8200836820083682,0.9306930693069306,0.9220736876426475,0.838002163452572,0.8753883756576495,0.8680933169619365
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top20,top20,100630.58237140057,100,0.9102097783792928,0.8967391304347826,0.8249027237354085,0.8366380585972182,0.8887471235560821,0.8608209270850955,0.8656466577526463
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top20,top20,100630.58237140057,365,0.8619169415090531,0.7951807228915663,0.8072625698324023,0.8049054675523761,0.7976257772752969,0.8012216463619843,0.8000135434830453
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top30,top30,93421.25554437516,42,0.9602826510721247,0.8640350877192983,0.9398148148148148,0.9348800421829686,0.8736126840317101,0.9019249512670565,0.8980625554007852
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top30,top30,93421.25554437516,100,0.9366846627313404,0.8950276243093923,0.8821292775665399,0.8836302548893543,0.8936559620336675,0.8885784509379662,0.8892924232936756
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top30,top30,93421.25554437516,365,0.8849537037037036,0.9166666666666666,0.7166666666666667,0.7638888888888888,0.8958333333333333,0.8166666666666667,0.8333333333333334
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top38,top38,83663.76401835399,42,0.9453658536585365,0.7916666666666666,0.9609756097560975,0.9530217763640811,0.8218320876064661,0.876321138211382,0.8648828688797602
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top38,top38,83663.76401835399,100,0.9073359073359074,0.8709677419354839,0.8532818532818532,0.8558315995594175,0.8686446050462787,0.8621247976086686,0.8633333333333333
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top38,top38,83663.76401835399,365,0.8750080974282567,0.8023255813953488,0.8161559888579387,0.8135776923834861,0.805022203763458,0.8092407851266438,0.8079124606578496
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top15,top15,95184.35370654611,42,0.941859530697525,0.8811475409836066,0.892156862745098,0.890956366295604,0.8824417772832049,0.8866522018643523,0.8860248070785018
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top15,top15,95184.35370654611,100,0.9012684124386252,0.9202127659574468,0.823076923076923,0.8387409562169016,0.9116287501132965,0.8716448445171849,0.877590041752839
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top15,top15,95184.35370654611,365,0.8532057047411025,0.8488372093023255,0.718232044198895,0.7507812943917268,0.8261287223823246,0.7835346267506103,0.7968038594904266
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top5,top5,110971.95999725346,42,0.9208439924734138,0.8154506437768241,0.8768472906403941,0.8687915305777678,0.8261259287293589,0.8461489672086091,0.841276419394944
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top5,top5,110971.95999725346,100,0.9052700396693483,0.8461538461538461,0.8539325842696629,0.852787456445993,0.8473413379073756,0.8500432152117545,0.8494577006507593
43KOTlpS_180_extval_gr1,deriva,43KOTlpS_180_gr1_top5,top5,110971.95999725346,365,0.8482872543905406,0.7654320987654321,0.8338028169014085,0.8216058830116839,0.7804433449431986,0.7996174578334203,0.7925248451677948
