experiment_id,experiment_label,fold,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,86272.11162619422,42,0.8941462567309364,0.7368421052631579,0.8910891089108911,0.8712261244608749,0.7720090293453724,0.8139656070870245,0.7984189723320158
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,86272.11162619422,100,0.727687366744933,0.8985507246376812,0.4860335195530726,0.6361343574458328,0.8273153252480705,0.6922921220953768,0.7449072054233647
dTBCXYGr_default_top100_gr1,Xgboost + time independent,0,86272.11162619422,365,0.726816433920259,0.8765432098765432,0.4950819672131147,0.6345043804389229,0.8004057326091224,0.685812588544829,0.736138967263827
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,84180.93069302377,42,0.8178418803418804,0.7660256410256411,0.78125,0.7778681855166802,0.7695343330702447,0.7736378205128205,0.7719014937424303
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,84180.93069302377,100,0.7136235438381362,0.7982832618025751,0.5885714285714285,0.6598953898552486,0.7447554617676266,0.6934273451870019,0.7225225025249441
dTBCXYGr_default_top100_gr1,Xgboost + time independent,1,84180.93069302377,365,0.6768465909090908,0.7954545454545454,0.525,0.6261180679785331,0.719626168224299,0.6602272727272727,0.7007007007007008
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,73629.71472656142,42,0.8555988948480415,0.726962457337884,0.8412698412698413,0.8207841458193161,0.7549710729738928,0.7841161493038626,0.7710296483566996
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,73629.71472656142,100,0.7518113465481886,0.7857142857142857,0.6172248803827751,0.6724188359169347,0.7422934648581997,0.7014695830485305,0.7246650906225374
dTBCXYGr_default_top100_gr1,Xgboost + time independent,2,73629.71472656142,365,0.7430983650495846,0.8791208791208791,0.5609756097560976,0.6669377795851973,0.8227201257861635,0.7200482444384884,0.7584691871892705
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,103147.50186332864,42,0.8850174216027875,0.8397212543554007,0.8253968253968254,0.8278625954198473,0.8373919874312648,0.832559039876113,0.8337497597539881
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,103147.50186332864,100,0.7878318064364577,0.8697674418604651,0.6262626262626263,0.6994483905092943,0.8278474723636815,0.7480150340615457,0.7753648985404058
dTBCXYGr_default_top100_gr1,Xgboost + time independent,3,103147.50186332864,365,0.7425480916968841,0.8867924528301887,0.5244299674267101,0.6509225425181576,0.8224578313253013,0.7056112101284494,0.7507674696914513
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,76847.24660081696,42,0.7587971142520613,0.7137809187279152,0.6875,0.6955024747148698,0.7060557949648446,0.7006404593639576,0.7045231607629427
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,76847.24660081696,100,0.6571876399462606,0.7192118226600985,0.5113636363636364,0.5954488575798305,0.6455374178503286,0.6152877295118675,0.651504779290586
dTBCXYGr_default_top100_gr1,Xgboost + time independent,4,76847.24660081696,365,0.6208471106912297,0.47126436781609193,0.7534246575342466,0.6565036192147401,0.5876212698022842,0.6123445126751692,0.5486709440879926
zLCPym1l_default_top200_gr1,Xgboost + time dependent,0,49971.642808036726,42,0.9440133037694014,0.8409090909090909,0.975609756097561,0.9718129404228059,0.8597948216902784,0.9082594235033259,0.9016344725111441
zLCPym1l_default_top200_gr1,Xgboost + time dependent,0,49971.642808036726,100,0.9607843137254902,0.9705882352941176,0.9019607843137255,0.908256880733945,0.968421052631579,0.9362745098039216,0.9383886255924171
zLCPym1l_default_top200_gr1,Xgboost + time dependent,0,49971.642808036726,365,0.9210526315789473,1.0,0.8026315789473684,0.8351648351648351,1.0,0.9013157894736842,0.9101796407185628
zLCPym1l_default_top200_gr1,Xgboost + time dependent,1,49824.37458273917,42,0.9029810298102982,0.926829268292683,0.7333333333333334,0.7765667574931882,0.9092741935483871,0.8300813008130081,0.8450704225352114
zLCPym1l_default_top200_gr1,Xgboost + time dependent,1,49824.37458273917,100,0.9120234604105572,0.8387096774193549,0.9090909090909091,0.9022082018927444,0.8493150684931507,0.873900293255132,0.8693009118541034
zLCPym1l_default_top200_gr1,Xgboost + time dependent,1,49824.37458273917,365,0.825,0.7,0.9078947368421053,0.8837209302325582,0.7516339869281046,0.8039473684210526,0.7812041116005873
zLCPym1l_default_top200_gr1,Xgboost + time dependent,2,68000.61755823035,42,0.9437229437229437,0.8367346938775511,0.9696969696969697,0.9650499286733238,0.8558951965065502,0.9032158317872604,0.8963232858562439
zLCPym1l_default_top200_gr1,Xgboost + time dependent,2,68000.61755823035,100,0.889969604863222,0.9428571428571428,0.8085106382978724,0.8311897106109325,0.9339887640449438,0.8756838905775076,0.8835089718029052
zLCPym1l_default_top200_gr1,Xgboost + time dependent,2,68000.61755823035,365,0.7918552036199096,0.8823529411764706,0.6153846153846154,0.6964285714285714,0.8395061728395061,0.748868778280543,0.778443113772455
zLCPym1l_default_top200_gr1,Xgboost + time dependent,3,67201.5985998799,42,0.9624649859943977,0.9019607843137255,0.9428571428571428,0.9404205607476636,0.9058127018299248,0.9224089635854342,0.9207892479267944
zLCPym1l_default_top200_gr1,Xgboost + time dependent,3,67201.5985998799,100,0.8926829268292683,0.9512195121951219,0.8222222222222222,0.842534805568891,0.9439950217797137,0.886720867208672,0.8935845213849287
zLCPym1l_default_top200_gr1,Xgboost + time dependent,3,67201.5985998799,365,0.8214285714285714,0.8571428571428571,0.7083333333333333,0.7461139896373057,0.8321678321678321,0.7827380952380951,0.7977839335180055
