experiment_id,trainset,sequence_id,label,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top10,top10,90472.67156868704,42,0.9047031197584703,0.8523985239852399,0.8309090909090909,0.8344663159346614,0.8491569932874862,0.8416538074471653,0.8433371058369814
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top10,top10,90472.67156868704,100,0.9274510150668458,0.9170616113744076,0.7970149253731343,0.8187708805678883,0.9057468307623051,0.857038268373771,0.8651334118534187
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top10,top10,90472.67156868704,365,0.8862094114662608,0.9166666666666666,0.7636986301369864,0.7950495049504952,0.9016172506738545,0.8401826484018264,0.8515376458112408
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top35,top35,86719.20107861208,42,0.913454059552063,0.7985347985347986,0.9038112522686026,0.8924933314510317,0.8177241532789202,0.8511730254017006,0.8429037577628856
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top35,top35,86719.20107861208,100,0.9273672152806085,0.8954869358669834,0.8476331360946745,0.8545914860084168,0.89023422652107,0.8715600359808289,0.8745613929730222
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top35,top35,86719.20107861208,365,0.8869472329472331,0.9054054054054054,0.7794285714285714,0.8041066015608926,0.8917710670931034,0.8424169884169883,0.8517547236973058
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top25,top25,90134.95843434196,42,0.9111609794733022,0.8440366972477065,0.8507194244604317,0.8497151115467034,0.8450720385516891,0.8473780608540691,0.8468663857685653
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top25,top25,90134.95843434196,100,0.9262652279846849,0.8776470588235294,0.8520710059171598,0.855760093399582,0.8744356175344346,0.8648590323703447,0.8665653975956615
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top25,top25,90134.95843434196,365,0.8852773833723199,0.8878923766816144,0.7949886104783599,0.8124158815612383,0.8764104412062791,0.8414404935799871,0.848478932495156
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top20,top20,83268.95125885027,42,0.8981610777190887,0.7582417582417582,0.9300184162062615,0.9155039706780695,0.7936823198217647,0.8441300872240098,0.8294848236622461
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top20,top20,83268.95125885027,100,0.9107627974454892,0.8598574821852731,0.8667664670658682,0.8658395545768659,0.8608190810499663,0.8633119746255706,0.8628381500518275
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top20,top20,83268.95125885027,365,0.8697837116154873,0.8738317757009346,0.7737142857142857,0.7943076840924866,0.8597947811018202,0.8237730307076101,0.8321741806040478
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top30,top30,72308.66042586608,42,0.8831146644799781,0.7777777777777778,0.8892988929889298,0.8754037840332256,0.8000737735153081,0.8335383353833539,0.82370820668693
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top30,top30,72308.66042586608,100,0.8957468268692758,0.8813131313131313,0.8119533527696793,0.8241502523253172,0.8724675057552193,0.8466332420414053,0.851773713252952
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top30,top30,72308.66042586608,365,0.8659924462340419,0.903954802259887,0.7414364640883978,0.777583262627673,0.8853166557337945,0.8226956331741424,0.8360204732637997
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top38,top38,87653.92434782481,42,0.9166805687761892,0.7992633517495396,0.9200710479573713,0.9090882032316754,0.8209000090473703,0.8596671998534554,0.8506456206069425
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top38,top38,87653.92434782481,100,0.9304597660949611,0.8859223300970874,0.8688760806916427,0.8710737890385898,0.8839440107594982,0.8773992053943651,0.8784353163525392
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top38,top38,87653.92434782481,365,0.8889071594497951,0.9023255813953488,0.7811447811447811,0.8047993518919447,0.8888572090453872,0.841735181270065,0.8507766818262359
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top15,top15,89142.645085958,42,0.9008347811208508,0.7777777777777778,0.9085820895522388,0.8948247078464108,0.8034830430797434,0.8431799336650083,0.8322058334257515
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top15,top15,89142.645085958,100,0.9214546354134454,0.8810068649885584,0.8423423423423424,0.8482111844390415,0.8762210094035149,0.8616746036654503,0.8642980296189182
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top15,top15,89142.645085958,365,0.876152872690458,0.8933333333333333,0.7984054669703873,0.8158832748505569,0.8821456735851273,0.8458694001518603,0.8528535494487173
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top5,top5,85750.30962560166,42,0.8760215128867779,0.7446043165467626,0.8912621359223301,0.8725741366750427,0.7772694877776898,0.8179332262345463,0.8035260021933873
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top5,top5,85750.30962560166,100,0.8959639627747343,0.8561151079136691,0.8287461773700306,0.8333083495727778,0.8520663213372843,0.8424306426418499,0.8445577862181226
zLCPym1l_314_extval_gr1,deriva,zLCPym1l_314_gr1_top5,top5,85750.30962560166,365,0.865951849945674,0.8407960199004975,0.7988505747126436,0.8069482176669136,0.8338257677500224,0.8198232973065706,0.8235244696492334
