experiment_id,experiment_label,fold,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
43KOTlpS_default_top25_gr1,Xgboost + time dependent,0,51184.53062768058,365,0.8753623188405797,0.8,0.855072463768116,0.8466257668711656,0.8104395604395604,0.827536231884058,0.8226527570789867
43KOTlpS_default_top25_gr1,Xgboost + time dependent,0,51184.53062768058,1000,0.956140350877193,1.0,0.9342105263157895,0.9382716049382716,1.0,0.9671052631578947,0.9681528662420382
43KOTlpS_default_top25_gr1,Xgboost + time dependent,1,68528.14767599224,100,0.9387254901960784,1.0,0.8235294117647058,0.85,1.0,0.9117647058823529,0.9189189189189189
43KOTlpS_default_top25_gr1,Xgboost + time dependent,1,68528.14767599224,365,0.903076923076923,0.9,0.8615384615384616,0.8666666666666668,0.896,0.8807692307692307,0.8830188679245283
43KOTlpS_default_top25_gr1,Xgboost + time dependent,1,68528.14767599224,1000,0.9120370370370371,1.0,0.8611111111111112,0.8780487804878049,1.0,0.9305555555555556,0.9350649350649352
43KOTlpS_default_top25_gr1,Xgboost + time dependent,2,91967.48542137096,100,0.9130434782608696,0.967741935483871,0.782608695652174,0.8165680473372781,0.9604130808950087,0.8751753155680224,0.8857509627727856
43KOTlpS_default_top25_gr1,Xgboost + time dependent,2,91967.48542137096,365,0.8362745098039216,0.7647058823529411,0.8333333333333334,0.8210526315789474,0.7798165137614678,0.7990196078431373,0.7918781725888325
43KOTlpS_default_top25_gr1,Xgboost + time dependent,2,91967.48542137096,1000,0.8533333333333333,1.0,0.84,0.8620689655172413,1.0,0.9199999999999999,0.9259259259259259
43KOTlpS_default_top25_gr1,Xgboost + time dependent,3,105268.65182470425,100,0.9191666666666667,0.9333333333333333,0.85,0.8615384615384615,0.9272727272727272,0.8916666666666666,0.896
43KOTlpS_default_top25_gr1,Xgboost + time dependent,3,105268.65182470425,365,0.8239795918367347,0.7857142857142857,0.7321428571428572,0.7457627118644069,0.7735849056603774,0.7589285714285714,0.765217391304348
43KOTlpS_default_top25_gr1,Xgboost + time dependent,3,105268.65182470425,1000,0.7689393939393938,1.0,0.5606060606060606,0.6947368421052631,1.0,0.7803030303030303,0.8198757763975155
43KOTlpS_default_top25_gr1,Xgboost + time dependent,4,111476.23987522884,100,0.9417249417249416,0.9696969696969697,0.8205128205128205,0.8438133874239351,0.9643835616438357,0.8951048951048951,0.9023861171366595
43KOTlpS_default_top25_gr1,Xgboost + time dependent,4,111476.23987522884,365,0.8652406417112299,0.7647058823529411,0.8727272727272728,0.8573141486810553,0.7876447876447876,0.818716577540107,0.8083663086489543
43KOTlpS_default_top25_gr1,Xgboost + time dependent,4,111476.23987522884,1000,0.8198529411764706,0.75,0.8823529411764706,0.864406779661017,0.7792207792207793,0.8161764705882353,0.8031496062992127
XE0MhN5r_default_top100_gr1,random forest + time independent,0,159981.2950225122,100,0.8245614035087719,0.819047619047619,0.7192982456140351,0.7447584320875114,0.7989977728285078,0.7691729323308271,0.7801384578658391
XE0MhN5r_default_top100_gr1,random forest + time independent,0,159981.2950225122,365,0.7043463611859838,0.8214285714285714,0.5566037735849056,0.6494405966968567,0.7571035747021081,0.6890161725067385,0.7253793513835168
XE0MhN5r_default_top100_gr1,random forest + time independent,0,159981.2950225122,1000,0.7519274376417233,0.8666666666666667,0.653061224489796,0.7141255605381166,0.8304498269896194,0.7598639455782313,0.7830362630608483
XE0MhN5r_default_top100_gr1,random forest + time independent,1,131066.76265579947,100,0.8250485436893203,0.8058252427184466,0.74,0.7560575696848243,0.7921430056121388,0.7729126213592232,0.780148510198327
XE0MhN5r_default_top100_gr1,random forest + time independent,1,131066.76265579947,365,0.7593201754385965,0.543859649122807,0.84375,0.7768206734534064,0.6490932096161957,0.6938048245614035,0.6397936149629151
XE0MhN5r_default_top100_gr1,random forest + time independent,1,131066.76265579947,1000,0.6752312435765674,0.7142857142857143,0.6330935251798562,0.6606463878326996,0.6890380313199106,0.6736896197327853,0.6864197530864197
XE0MhN5r_default_top100_gr1,random forest + time independent,2,148472.12668487968,100,0.814429012345679,0.7160493827160493,0.796875,0.7790136411332633,0.7372835980724612,0.7564621913580247,0.7462056488089255
XE0MhN5r_default_top100_gr1,random forest + time independent,2,148472.12668487968,365,0.7606499780412824,0.782608695652174,0.6464646464646464,0.6888287591805179,0.7483477376715811,0.7145366710584102,0.7327302631578947
XE0MhN5r_default_top100_gr1,random forest + time independent,2,148472.12668487968,1000,0.7600250626566416,0.5833333333333334,0.9022556390977443,0.8564857405703771,0.6840855106888362,0.7427944862155389,0.6939992545657845
XE0MhN5r_default_top100_gr1,random forest + time independent,3,136560.9756457236,100,0.8505200070509431,0.8064516129032258,0.7704918032786885,0.7784583971413986,0.7992320351069665,0.7884717080909571,0.792207792207792
XE0MhN5r_default_top100_gr1,random forest + time independent,3,136560.9756457236,365,0.7438461538461538,0.86,0.5961538461538461,0.6804625684723068,0.8098223615464994,0.7280769230769231,0.7597689432551817
XE0MhN5r_default_top100_gr1,random forest + time independent,3,136560.9756457236,1000,0.7701388888888889,0.8,0.7638888888888888,0.7721179624664879,0.792507204610951,0.7819444444444444,0.78581173260573
XE0MhN5r_default_top100_gr1,random forest + time independent,4,152624.15294873234,100,0.7920138888888889,0.8555555555555555,0.640625,0.7042012003429551,0.8160106147722246,0.7480902777777778,0.7725348800752468
XE0MhN5r_default_top100_gr1,random forest + time independent,4,152624.15294873234,365,0.7885220125786163,0.9583333333333334,0.49056603773584906,0.6529191215854312,0.9217134416543575,0.7244496855345912,0.776680471487735
XE0MhN5r_default_top100_gr1,random forest + time independent,4,152624.15294873234,1000,0.7897959183673469,0.7857142857142857,0.8285714285714285,0.8208955223880596,0.7945205479452055,0.8071428571428572,0.802919708029197
1aTxj7zc_default_top100_gr1,random forest + time dependent,0,86706.60441727383,100,0.933372992266508,0.9512195121951219,0.8536585365853658,0.8666666666666666,0.9459459459459459,0.9024390243902438,0.9069767441860463
1aTxj7zc_default_top100_gr1,random forest + time dependent,0,86706.60441727383,365,0.8446969696969697,1.0,0.6166666666666667,0.7228915662650602,1.0,0.8083333333333333,0.8391608391608391
1aTxj7zc_default_top100_gr1,random forest + time dependent,0,86706.60441727383,1000,0.9578059071729959,1.0,0.9240506329113924,0.9294117647058824,1.0,0.9620253164556962,0.9634146341463414
1aTxj7zc_default_top100_gr1,random forest + time dependent,1,98624.1390103619,100,0.8778311599176389,0.8387096774193549,0.851063829787234,0.8492008339124392,0.840677966101695,0.8448867536032945,0.8439226519337016
1aTxj7zc_default_top100_gr1,random forest + time dependent,1,98624.1390103619,365,0.8325281803542672,1.0,0.6956521739130435,0.7666666666666666,1.0,0.8478260869565217,0.8679245283018867
1aTxj7zc_default_top100_gr1,random forest + time dependent,1,98624.1390103619,1000,0.8355555555555555,1.0,0.64,0.7352941176470589,1.0,0.8200000000000001,0.8474576271186441
1aTxj7zc_default_top100_gr1,random forest + time dependent,2,96900.78318954668,100,0.90625,0.84375,0.8863636363636364,0.8813056379821959,0.8501362397820165,0.8650568181818181,0.8621190130624093
1aTxj7zc_default_top100_gr1,random forest + time dependent,2,96900.78318954668,365,0.7748251748251749,0.8181818181818182,0.7230769230769231,0.7471264367816092,0.7990726429675425,0.7706293706293706,0.781041388518024
1aTxj7zc_default_top100_gr1,random forest + time dependent,2,96900.78318954668,1000,0.7673611111111112,0.75,0.8194444444444444,0.8059701492537313,0.7662337662337663,0.7847222222222222,0.776978417266187
1aTxj7zc_default_top100_gr1,random forest + time dependent,3,85626.3697059648,100,0.9387464387464388,0.9722222222222222,0.8461538461538461,0.8633776091081594,0.9682151589242054,0.9091880341880342,0.914572864321608
1aTxj7zc_default_top100_gr1,random forest + time dependent,3,85626.3697059648,365,0.8442796610169491,1.0,0.6949152542372881,0.7662337662337662,1.0,0.847457627118644,0.8676470588235293
1aTxj7zc_default_top100_gr1,random forest + time dependent,3,85626.3697059648,1000,0.8309859154929577,1.0,0.6619718309859155,0.7473684210526316,1.0,0.8309859154929577,0.8554216867469879
1aTxj7zc_default_top100_gr1,random forest + time dependent,4,82075.94931324266,100,0.9580867850098619,0.9230769230769231,0.9038461538461539,0.9056603773584907,0.9215686274509804,0.9134615384615385,0.9142857142857144
1aTxj7zc_default_top100_gr1,random forest + time dependent,4,82075.94931324266,365,0.89117199391172,0.8888888888888888,0.8082191780821918,0.8225352112676058,0.8791390728476821,0.8485540334855404,0.8544257498171177
1aTxj7zc_default_top100_gr1,random forest + time dependent,4,82075.94931324266,1000,0.7729885057471264,0.75,0.7471264367816092,0.7478510028653296,0.7492795389048992,0.7485632183908046,0.7489239598278336
FAbyiLmG_default_top100_gr1,Adaboost + time independent,0,106747.62491150372,100,0.6663478399489877,0.7967479674796748,0.46405228758169936,0.5978468899521531,0.6954132823698042,0.6304001275306871,0.683113510558327
FAbyiLmG_default_top100_gr1,Adaboost + time independent,0,106747.62491150372,365,0.6132805247849497,0.8495575221238938,0.36363636363636365,0.5717379534380076,0.7073552425665102,0.6065969428801288,0.683495145631068
FAbyiLmG_default_top100_gr1,Adaboost + time independent,0,106747.62491150372,1000,0.5569573283858998,0.5,0.8103896103896104,0.7250470809792844,0.6184340931615461,0.6551948051948052,0.5918524212144505
FAbyiLmG_default_top100_gr1,Adaboost + time independent,1,126915.74460194152,100,0.6604546385418801,0.8599221789883269,0.4078947368421053,0.5922217129156236,0.7443707371764927,0.6339084579152161,0.7013968638423151
FAbyiLmG_default_top100_gr1,Adaboost + time independent,1,126915.74460194152,365,0.5690317974627932,0.9694656488549618,0.2086330935251799,0.550572310763185,0.8723306544202065,0.5890493711900708,0.70229949077021
FAbyiLmG_default_top100_gr1,Adaboost + time independent,1,126915.74460194152,1000,0.6016666666666667,0.84,0.41145833333333337,0.5880122502552136,0.7200145825738242,0.6257291666666667,0.6917731834948957
FAbyiLmG_default_top100_gr1,Adaboost + time independent,2,102433.19279952206,100,0.6987095183297715,0.8181818181818182,0.5379746835443038,0.6391011235955056,0.7474020783373302,0.678078250863061,0.7176381529144588
FAbyiLmG_default_top100_gr1,Adaboost + time independent,2,102433.19279952206,365,0.7047619047619047,0.9142857142857143,0.4225352112676056,0.6128945238737523,0.831353919239905,0.6684104627766599,0.7338501291989664
FAbyiLmG_default_top100_gr1,Adaboost + time independent,2,102433.19279952206,1000,0.5672380952380952,0.9285714285714286,0.28,0.5632582322357019,0.7967479674796749,0.6042857142857143,0.7011866235167207
FAbyiLmG_default_top100_gr1,Adaboost + time independent,3,85548.30305149929,100,0.7052304857052789,0.7470355731225297,0.6196319018404908,0.6626158776590023,0.7101014311518689,0.6833337374815103,0.7022979072630283
FAbyiLmG_default_top100_gr1,Adaboost + time independent,3,85548.30305149929,365,0.6757225093984962,0.7410714285714286,0.5723684210526316,0.634097305991154,0.6885245901639345,0.6567199248120301,0.6834236186348862
FAbyiLmG_default_top100_gr1,Adaboost + time independent,3,85548.30305149929,1000,0.6327292110874201,0.5714285714285714,0.7288557213930349,0.6781948544917756,0.6297206017807798,0.6501421464108031,0.6202507232401157
FAbyiLmG_default_top100_gr1,Adaboost + time independent,4,119538.23289169553,100,0.7345328282828282,0.8333333333333334,0.5866666666666667,0.6684491978609627,0.7787610619469026,0.71,0.741839762611276
FAbyiLmG_default_top100_gr1,Adaboost + time independent,4,119538.23289169553,365,0.6852426294068459,0.8015267175572519,0.5088339222614842,0.6200442367081213,0.7193959270841278,0.655180319909368,0.6992011482758216
FAbyiLmG_default_top100_gr1,Adaboost + time independent,4,119538.23289169553,1000,0.7357930449533503,0.7142857142857143,0.7480916030534351,0.7392776523702032,0.7236286919831224,0.7311886586695747,0.7265668330560177
25m9QoAi_default_top250_gr1,Adaboost + time dependent,0,53964.68063769847,100,0.7744990892531876,0.7555555555555555,0.8524590163934427,0.8366276724485681,0.7771504483560279,0.8040072859744991,0.7940275650842267
25m9QoAi_default_top250_gr1,Adaboost + time dependent,0,53964.68063769847,365,0.8407789232531501,0.8888888888888888,0.7422680412371134,0.7752247752247753,0.8697986577181207,0.8155784650630011,0.8281750266808966
25m9QoAi_default_top250_gr1,Adaboost + time dependent,0,53964.68063769847,1000,0.7884615384615385,1.0,0.7019230769230769,0.7703703703703704,1.0,0.8509615384615384,0.8702928870292888
25m9QoAi_default_top250_gr1,Adaboost + time dependent,1,63931.59904136386,100,0.8328100470957615,0.8367346938775511,0.7884615384615384,0.7982029202545864,0.8284536082474228,0.8125981161695448,0.8170147537842499
25m9QoAi_default_top250_gr1,Adaboost + time dependent,1,63931.59904136386,365,0.8055555555555556,0.8181818181818182,0.7666666666666666,0.7780979827089336,0.8083067092651758,0.7924242424242425,0.7976366322008862
25m9QoAi_default_top250_gr1,Adaboost + time dependent,1,63931.59904136386,1000,0.7448979591836735,1.0,0.6122448979591837,0.7205882352941176,1.0,0.8061224489795918,0.8376068376068375
25m9QoAi_default_top250_gr1,Adaboost + time dependent,2,64612.847955245066,100,0.7154471544715447,0.6097560975609756,0.8166666666666667,0.7688364941055869,0.6766588076793533,0.7132113821138211,0.6801178871004308
25m9QoAi_default_top250_gr1,Adaboost + time dependent,2,64612.847955245066,365,0.6841397849462366,0.75,0.7634408602150538,0.7602179836512262,0.753315649867374,0.7567204301075269,0.7550744248985115
25m9QoAi_default_top250_gr1,Adaboost + time dependent,2,64612.847955245066,1000,0.6404639175257733,0.75,0.7422680412371134,0.7442455242966752,0.7480519480519481,0.7461340206185567,0.7471116816431322
